elements_per_query,time execution,size_intersection
3,408.7,2000
3,135.9,0
5,183.1,3
3,257.1,728
5,182,105
3,7412.8,113191
3,865.3,8929
4,1830.2,8841
5,924.4,2517
4,1824.8,13189
8,1057.6,491
8,1249.2,2369
3,719.1,7959
5,937.5,1887
3,328.7,654
4,685,2682
3,3007.6,31144
3,216.8,465
3,1753.2,26337
4,1305.8,9090
3,2217.9,22128
3,844.2,5070
4,197.1,156
5,248.7,816
3,1770.7,19009
4,276.4,60
5,2398.3,7072
3,130.1,49
3,584.6,5848
6,1592.8,3526
3,478.3,2552
4,606.3,1542
5,428.2,523
6,5753.5,56514
4,216.7,585
3,417.8,617
5,1278,2823
2,169.1,4456
3,167.5,762
3,436.7,2632
4,635.8,1281
4,196.9,122
3,320.6,2413
4,930.9,2526
4,368,1180
4,557.8,587
3,2122.9,14570
5,345.5,180
3,538.1,3893
4,1050.6,11679
3,1653.3,21485
6,1341.4,2460
7,1539.4,2242
3,479.6,1098
3,2063.5,50562
6,462.2,173
4,1047.9,3794
2,271.5,1698
5,219,12
4,856.1,2693
3,166.6,182
6,310.6,351
4,357,418
3,452.8,1093
4,322.6,1020
6,289.4,443
5,438.1,1573
4,2973.4,25610
6,994.1,1362
4,342.4,694
3,571.5,1252
4,1468.7,5802
4,2087.7,9618
4,191.1,170
2,255.1,1113
3,2051.1,18451
5,3838.5,28396
5,810.8,3258
3,432.4,2949
7,233.2,16
4,8982.8,137938
2,2333.7,162859
5,3711.6,45383
5,335.2,279
4,474.8,364
3,1476,6140
4,2615.6,16092
5,1532.1,6228
2,484,6990
3,611.4,1216
3,6809.4,112600
4,5179.3,76869
3,1056.1,10215
3,3335.8,44886
5,5530,54380
4,1116.4,5319
4,6175.2,201617
6,6469.5,46343
4,1767.6,7067
3,871.1,6264
4,2955.3,23475
6,1921.3,3980
6,312.7,279
2,10502,373468
6,1526.6,3119
3,9845.5,301359
2,519.5,3828
4,417.9,730
4,489,1118
2,410.6,1902
5,2503.8,15337
4,207.1,112
4,561.4,1260
4,260,299
2,874.2,8919
4,252.5,76
5,799,1018
5,301.6,144
4,305.7,1122
4,2111,14486
3,447.9,1872
4,322.3,721
2,881.7,12985
3,2465.9,30217
3,200.5,548
4,414.2,731
4,1241.8,7391
3,537,828
8,1536.7,2667
5,924.3,1220
6,480.3,408
3,271.8,642
3,2422.4,23698
4,386.7,538
5,380.9,162
5,1190.5,2500
3,269.2,964
4,1108,10172
4,1670,6948
3,430.8,548
6,469,1693
3,599.3,1708
2,2107.2,22258
4,552.5,1051
3,228.7,704
3,830.1,4129
5,124.5,4
5,849.7,6502
4,1957.3,13293
3,386,1273
6,288.2,116
6,163.1,4
3,577.2,10722
4,163.8,21
4,5626.4,69026
6,900.4,1777
3,367.5,926
4,1083.1,3007
4,541.3,2746
3,2214,37226
4,170.3,16
3,913.3,5774
5,2023.8,6766
4,370.7,931
5,712.7,611
4,261.9,1297
3,351.3,398
4,803.8,986
7,386.9,146
5,584.9,1072
4,224,126
5,261.8,132
4,369.3,900
3,470,2040
2,466.3,5181
4,350.6,882
4,1775.7,8967
5,441.2,1974
8,5811.8,39460
5,360.4,588
5,1971.2,12078
4,1909.1,14865
4,474.9,1300
6,247.5,32
3,220.9,308
3,1454.4,21158
2,210.5,890
3,794.1,5285
5,1691.1,6618
5,5326.4,59920
11,3056.4,2727
3,181.6,28
3,977.2,8865
6,646.3,586
4,1199.7,3084
4,2921.3,23606
4,295.5,226
3,917.9,6235
4,126.3,7
4,922.5,2278
4,5386.1,67800
2,9683.4,700818
4,2242.4,13534
3,1506,8687
2,3216.2,101661
3,215.9,51
6,3141,14033
3,435.4,365
5,857.6,1208
3,4721.8,73570
5,419.1,506
4,1239.7,7055
4,4256.3,39336
2,1177.3,11702
2,935.5,9340
4,223.2,242
4,217.1,15
5,248.6,57
3,301.9,1618
4,285.3,833
4,555.1,1278
2,3284.5,101326
3,233,245
4,624.6,2159
3,2811.8,40664
5,419.3,451
5,583,451
6,5602.5,37951
4,477.1,1557
3,1350.6,12244
2,570.9,7548
3,1832.2,14595
4,176.1,172
4,973.9,14687
2,3891,80656
5,624.8,938
5,398.4,145
3,573.8,1396
3,663.7,1628
4,236.8,188
2,1780,16848
6,190,5
3,4858.9,51467
3,219.7,232
3,1441.3,12715
